Designator,Comment,Footprint,LCSC
C1,1u,Capacitor_SMD:C_0805_2012Metric,C28323
C2,1u,Capacitor_SMD:C_0805_2012Metric,C28323
C3,100n,Capacitor_SMD:C_0805_2012Metric,C49678
C4,1u,Capacitor_SMD:C_0805_2012Metric,C28323
C5,100n,Capacitor_SMD:C_0805_2012Metric,C49678
C6,4.7u,Capacitor_SMD:C_0805_2012Metric,C1779
D1,RX green,LED_SMD:LED_0805_2012Metric,C2297
D2,TX red,LED_SMD:LED_0805_2012Metric,C84256
D3,1SMB5924BY3G,Diode_SMD:D_SMA,C53166
D4,ABS10,Diode_SMD:Diode_Bridge_Diotec_ABS,C65028
D5,power yellow,LED_SMD:LED_0805_2012Metric,C2296
D6,1N4148WS,Diode_SMD:D_SOD-323,C57759
D7,TPSP0503BAHTG,Package_TO_SOT_SMD:SOT-143,C2682275
F1,1A,Fuse:Fuse_1206_3216Metric,C182308
Q1,BC817-40,Package_TO_SOT_SMD:SOT-23,C181151
R3,1k,Resistor_SMD:R_0805_2012Metric,C17513
R4,470,Resistor_SMD:R_0805_2012Metric,C17710
R5,2.2k,Resistor_SMD:R_0805_2012Metric,C17520
R6,470,Resistor_SMD:R_0805_2012Metric,C17710
R7,470,Resistor_SMD:R_0805_2012Metric,C17710
R8,470,Resistor_SMD:R_0805_2012Metric,C17710
R9,10k,Resistor_SMD:R_0805_2012Metric,C17414
R10,220k,Resistor_SMD:R_0805_2012Metric,C17556
R11,18k,Resistor_SMD:R_0805_2012Metric,C17506
R12,15k,Resistor_SMD:R_0805_2012Metric,C17475
R13,100k,Resistor_SMD:R_0805_2012Metric,C17407
R14,22k,Resistor_SMD:R_0805_2012Metric,C17560
R15,10k,Resistor_SMD:R_0805_2012Metric,C17414
R16,120E,Resistor_SMD:R_0805_2012Metric,C17437
U1,LTV-357T,Package_SO:SO-4_4.4x3.6mm_P2.54mm,C33068
U2,LTV-357T,Package_SO:SO-4_4.4x3.6mm_P2.54mm,C33068
U3,LM2903DT,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C98194
U4,LP2951-50DR,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C109380
U5,CP2104-F03-GM,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,C430013
J4,EBUS,Connector_Phoenix_MC:PhoenixContact_MC_1.5_2-G-3.81_1x02_P3.81mm_Horizontal,C69811
J1,USB A,Connector_USB:USB_A_CNCTech_1001-011-01101_Horizontal,C319178
